"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","residuals","resnorm","ag","bg","cg","mean","stdev","field_x","field_y","C1","C2","CV","upper","lower","ag_range","bg_range","cg_range",
131.9887,-128.5043,0.79701,-0.19925,-0.19925,1.2205,0.87454,0.00079424,-5,0.00090818,0.00035205,0.0038218,0.16475,1.3369,0.1901,58.1268,42.0261,-5,0,0.95,1.314,0.72301,0.080837,0.24866,0.080837,1.5588,0.31239,
67.7365,-128.5043,1.6986,-0.6239,-0.82315,2.2777,0.87454,0.00079424,-4.5,,0.00035205,,,,,,,-4.5,0,,,,1.1054,1.5684,0.24866,1.1839,0.078712,
34.8075,-65.8581,1.6665,-0.84127,-1.6644,5.2826,1.8901,0.0017165,-4,,0.00087251,,,,,,,-4,0,,,,0.067803,0.31239,0.24294,1.1054,0.098604,
17.9314,-33.7521,1.6235,-0.8225,-2.4869,12.0243,4.3267,0.0039295,-3.5,,0.0023076,,,,,,,-3.5,0,,,,,,0.10297,1.5684,0.27524,
9.2825,-17.2979,1.5653,-0.7972,-3.2841,26.6856,9.6775,0.0087889,-3,,0.0059216,,,,,,,-3,0,,,,,,0.24864,1.2023,0.067803,
4.8499,-8.8651,1.4879,-0.76329,-4.0474,57.2495,20.9838,0.019057,-2.5,,0.013445,,,,,,,-2.5,0.0010983,,,,,,0.089418,1.4863,0.31239,
2.5782,-4.5433,1.3974,-0.72132,-4.7687,117.7706,43.755,0.039737,-2,,0.01167,,,,,,,-2,0.021966,,,,,,,,,
1.414,-2.3285,1.3599,-0.68932,-5.4581,234.641,88.1029,0.080013,-1.5,,-0.024995,,,,,,,-1.5,0.098298,,,,,,,,,
0.81735,-1.1933,2.074,-0.85847,-6.3165,553.6475,197.0721,0.17898,-1,,-0.035717,,,,,,,-1,0.21636,,,,,,,,,
0.51156,-0.61158,-2.0629,-0.0027637,-6.3193,555.1798,277.2068,0.25175,-0.5,,0.019038,,,,,,,-0.5,0.23558,,,,,,,,,
0.35485,-0.31343,-1.0305,0.77336,-5.5459,256.193,202.8432,0.18422,0,,-0.0042927,,,,,,,0,0.17792,,,,,,,,,
0.27453,-0.16063,-1.0593,0.52246,-5.0235,151.9378,102.0327,0.092664,0.5,,-0.024068,,,,,,,0.5,0.10434,,,,,,,,,
0.23337,-0.082324,-1.0983,0.5394,-4.4841,88.595,60.1332,0.054612,1,,-0.013829,,,,,,,1,0.0648,,,,,,,,,
0.21227,-0.042191,-1.0717,0.54249,-3.9416,51.5002,35.0238,0.031808,1.5,,-0.0031459,,,,,,,1.5,0.037891,,,,,,,,,
0.20146,-0.021623,-1.0005,0.51805,-3.4235,30.6778,20.5445,0.018658,2,,0.0056901,,,,,,,2,0.01922,,,,,,,,,
0.19592,-0.011082,-0.91255,0.47826,-2.9453,19.0159,12.4234,0.011283,2.5,,0.0087611,,,,,,,2.5,0.0098847,,,,,,,,,
0.19308,-0.0056793,-0.82489,0.43436,-2.5109,12.3162,7.833,0.0071138,3,,0.008434,,,,,,,3,0.0060406,,,,,,,,,
0.19163,-0.0029106,-0.74506,0.39249,-2.1184,8.3181,5.1586,0.0046849,3.5,,0.0088351,,,,,,,3.5,0.0027457,,,,,,,,,
0.19088,-0.0014917,-0.67523,0.35507,-1.7634,5.832,3.5375,0.0032127,4,,0.0083994,,,,,,,4,0.0010983,,,,,,,,,
0.1905,-0.00076448,-0.61518,0.3226,-1.4408,4.2239,2.514,0.0022831,4.5,,0.0052035,,,,,,,4.5,0.0027457,,,,,,,,,
0.1903,-0.00039179,-0.56375,0.29473,-1.146,3.1457,1.8424,0.0016732,5,,0.006766,,,,,,,5,0,,,,,,,,,
0.1902,-0.00020079,-0.51963,0.27085,-0.87517,2.3993,1.3862,0.001259,5.5,,,,,,,,,,,,,,,,,,,
0.19015,-0.00010291,-0.48159,0.25031,-0.62487,1.868,1.0668,0.00096887,6,,,,,,,,,,,,,,,,,,,

