"J","Jprime","phi","sym","sigma","expsym","intsysmeps","fraction","ss_var","int_constant_ana","ag","bg","cg","C1","C2","CV",
246.9814,-253.1068,0.77891,-0.19473,-0.19473,1.215,0.88606,0.00075247,-5,0.00084924,"0.185571","1.43853","0.236116","0.7","0.95007","0.736788",
120.428,-253.1068,1.8244,-0.65082,-0.84554,2.3292,0.88606,0.00075247,-4.5,,,,,,,,
58.7826,-123.2906,1.7803,-0.90117,-1.7467,5.7357,2.0162,0.0017123,-4,,,,,,,,
28.7547,-60.056,1.7209,-0.87531,-2.622,13.7635,4.8748,0.0041399,-3.5,,,,,,,,
14.1278,-29.2538,1.6385,-0.83985,-3.4619,31.8766,11.41,0.0096899,-3,,,,,,,,
7.0029,-14.2498,1.5231,-0.79041,-4.2523,70.266,25.5357,0.021686,-2.5,,,,,,,,
3.5323,-6.9412,1.3677,-0.72272,-4.975,144.7503,53.7541,0.04565,-2,,,,,,,,
1.8417,-3.3811,1.2056,-0.64333,-5.6183,275.4331,105.0459,0.089209,-1.5,,,,,,,,
1.0182,-1.647,1.546,-0.6879,-6.3062,547.9836,205.8542,0.17482,-1,,,,,,,,
0.61708,-0.80226,-1.4583,-0.021933,-6.3282,560.1355,277.0298,0.23527,-0.5,,,,,,,,
0.42169,-0.39079,-1.0325,0.62268,-5.7055,300.5138,215.1623,0.18272,0,,,,,,,,
0.32651,-0.19036,-1.1724,0.55122,-5.1543,173.1692,118.4208,0.10057,0.5,,,,,,,,
0.28015,-0.092724,-1.2263,0.59967,-4.5546,95.0683,67.0594,0.05695,1,,,,,,,,
0.25756,-0.045167,-1.1811,0.60183,-3.9528,52.0793,36.7869,0.031241,1.5,,,,,,,,
0.24656,-0.022001,-1.086,0.56676,-3.386,29.5476,20.4067,0.01733,2,,,,,,,,
0.2412,-0.010717,-0.97855,0.51614,-2.8699,17.6346,11.7956,0.010017,2.5,,,,,,,,
0.23859,-0.0052203,-0.877,0.46389,-2.406,11.0893,7.181,0.0060984,3,,,,,,,,
0.23732,-0.0025429,-0.78766,0.41617,-1.9898,7.3141,4.6009,0.0039072,3.5,,,,,,,,
0.2367,-0.0012387,-0.71132,0.37475,-1.6151,5.0282,3.0856,0.0026204,4,,,,,,,,
0.2364,-0.00060336,-0.64667,0.3395,-1.2756,3.5807,2.1522,0.0018278,4.5,,,,,,,,
0.23626,-0.0002939,-0.59188,0.30964,-0.96593,2.6272,1.552,0.001318,5,,,,,,,,
0.23618,-0.00014316,-0.54518,0.28426,-0.68167,1.9772,1.1511,0.00097756,5.5,,,,,,,,
0.23615,-6.9736e-05,-0.50508,0.26257,-0.4191,1.5206,0.87444,0.00074261,6,,,,,,,,

